stock,date,open,close,sentiment_score
vz,2016-04-13,38.7007,38.1209,0.0
vz,2016-04-14,38.1112,38.1724,0.0
vz,2016-04-15,38.1112,38.1665,-0.9999947547912598
vz,2016-04-20,38.76,38.4647,0.0
vz,2016-04-21,37.578,37.1826,-0.994525671005249
vz,2016-05-05,37.8975,37.7868,0.0
vz,2016-05-12,38.0714,38.2569,-0.9999419450759888
vz,2016-05-18,37.846,37.4517,0.0
vz,2016-05-27,37.4517,37.6217,-0.9992275238037108
vz,2016-06-03,37.7372,37.846,0.0
vz,2016-06-07,37.6081,38.4647,0.0
vz,2016-06-08,38.2831,38.2909,0.0
vz,2016-06-13,39.0212,39.0698,0.0
vz,2016-06-17,39.7118,39.972,0.0
vz,2016-07-06,42.2,42.236,0.6974841356277466
vz,2016-07-25,42.1155,41.9436,0.0
vz,2016-07-26,41.9291,41.1472,-0.9935418963432312
vz,2016-08-01,41.7271,40.9151,0.0
vz,2016-09-01,39.1435,39.4602,0.0
vz,2016-09-21,38.5657,38.9425,0.0
vz,2016-09-26,39.3786,39.1513,0.0
vz,2016-09-29,38.9182,39.128,0.0
vz,2016-10-03,38.9182,38.9493,0.0
vz,2016-10-04,38.8658,38.4832,0.0
vz,2016-10-05,38.489,38.1714,-0.8721203804016113
vz,2016-10-07,38.3161,37.9063,0.0
vz,2016-10-08,38.1403,38.1083,0.995731770992279
vz,2016-10-11,38.0403,37.8878,0.0
vz,2016-10-13,38.1403,38.185,0.0
vz,2016-10-14,38.2238,38.1782,0.0
vz,2016-10-17,38.1248,38.2909,0.0
vz,2016-10-18,38.4278,38.1714,0.9999998807907104
vz,2016-10-20,37.6149,37.3128,-0.9998782575130463
vz,2016-10-22,36.9864,36.6038,-0.9996123909950256
vz,2016-10-25,36.598,36.3251,-0.9802951216697692
vz,2016-10-26,36.2503,36.1658,0.0
vz,2016-10-27,36.2503,36.8553,0.0
vz,2016-11-04,35.6646,35.7472,0.0
vz,2016-11-09,35.6938,36.3386,0.0
vz,2016-11-10,36.3386,35.4538,-0.9942737221717834
vz,2016-11-16,36.0599,36.394,0.0
vz,2016-11-17,36.4095,36.3251,0.0
vz,2016-11-18,36.3319,36.4989,0.0
vz,2016-11-23,37.4332,38.1403,0.0
vz,2016-12-01,37.8149,37.8664,0.0
vz,2016-12-02,37.9645,37.8218,-0.9986239671707152
vz,2016-12-05,37.7674,37.7742,0.9967092275619508
vz,2016-12-06,38.08,38.2403,0.0
vz,2016-12-07,38.5133,39.0125,0.0
vz,2016-12-08,38.8998,38.824,0.0
vz,2016-12-09,38.7929,39.0969,-0.9974340796470642
vz,2016-12-15,39.0037,39.3388,-0.9999219179153442
vz,2016-12-16,39.5301,39.6903,0.9999871253967284
vz,2016-12-19,39.8467,40.175,-0.999998927116394
vz,2016-12-23,40.7355,40.7597,0.0
vz,2017-01-05,41.595,41.4882,0.0
vz,2017-01-06,41.188,40.8743,0.0
vz,2017-01-09,40.8423,40.4275,0.0
vz,2017-01-10,40.4363,40.4877,0.0
vz,2017-01-23,40.2586,40.2207,0.9999996423721312
vz,2017-01-24,38.5667,38.4637,-0.9998862743377686
vz,2017-01-25,37.9898,38.1937,-0.928917407989502
vz,2017-01-26,37.4119,37.6935,0.0
vz,2017-01-27,37.8703,38.0655,0.0
vz,2017-01-31,37.7644,37.61,0.0
vz,2017-02-01,37.8635,37.135,-0.8998070955276489
vz,2017-02-02,37.2497,37.0506,0.0
vz,2017-02-03,37.1798,37.2818,0.0
vz,2017-02-04,37.3497,36.8583,0.0
vz,2017-02-10,37.5565,37.5886,0.0
vz,2017-02-13,37.0438,37.2575,0.0
vz,2017-02-15,36.837,36.8981,0.0
vz,2017-02-16,36.8583,37.1876,0.0
vz,2017-02-20,37.9975,37.9324,0.0
vz,2017-02-21,37.9975,37.9324,0.0
vz,2017-02-23,38.3549,38.6075,0.9999850988388062
vz,2017-02-26,38.3404,38.0869,0.9999995231628418
vz,2017-03-01,38.0316,38.2258,0.9999997615814208
vz,2017-03-02,38.1335,38.3549,-0.9999865293502808
vz,2017-03-03,38.4083,38.4404,0.0
vz,2017-03-07,38.3705,37.9393,0.0
vz,2017-03-09,37.7712,37.8179,0.0
vz,2017-03-10,37.9898,37.8703,0.0
vz,2017-03-12,37.9393,37.879,0.0
vz,2017-03-13,37.8567,37.9626,-0.985511839389801
vz,2017-03-14,37.9393,37.879,0.0
vz,2017-03-15,37.8023,38.4783,0.0
vz,2017-03-16,38.388,38.4015,0.0
vz,2017-03-20,38.6929,38.555,0.0
